step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
41200,2023-07-03 15:19:48.171454056,1,192.16,98.0,-0.27926268038171814,0.25270908038172724,0.009999999999990905,0.0165536
41201,2023-07-03 15:19:49.560019371,2,192.15,229.0,-0.29126498204299756,0.25398218204301576,0.01999999999998181,0.0172828
41202,2023-07-03 15:19:49.560019371,2,192.15,239.0,-0.278231454106616,0.24094865410663419,0.01999999999998181,0.0172828
41203,2023-07-03 15:19:49.560019371,1,192.15,84.0,-0.09407494241217278,0.056792142412190966,0.01999999999998181,0.0172828
41206,2023-07-03 15:19:49.560019371,1,192.16,172.0,-0.26688911132722853,0.23960631132723764,0.009999999999990905,0.0172828
41209,2023-07-03 15:19:49.560903194,2,192.15,116.0,-0.2805674820430067,0.25398218204301576,0.009999999999990905,0.0165853
41213,2023-07-03 15:19:49.564398516,2,192.15,90.0,-0.2574399541066342,0.24094865410663419,0.0,0.0164913
41214,2023-07-03 15:19:50.312786431,1,192.15,152.0,-0.2547872058737809,0.23825640587378089,0.0,0.0165308
41216,2023-07-03 15:19:53.304866069,2,192.15,212.0,-0.29352895061542594,0.27706185061542593,0.0,0.0164671
41218,2023-07-03 15:19:55.962399395,2,192.155,203.0,-0.2755548820430112,0.25398218204301576,0.0049999999999954525,0.0165727
41219,2023-07-03 15:19:56.286977516,2,192.16,172.0,-0.17760683607108943,0.16063243607108943,0.0,0.0169744
41220,2023-07-03 15:19:56.286977516,2,192.16,210.0,-0.15608617030934327,0.13911177030934327,0.0,0.0169744
41224,2023-07-03 15:19:57.261054230,1,192.16,106.0,-0.9850172356859155,0.9671353356859155,0.0,0.0178819
41229,2023-07-03 15:19:57.261255502,2,192.17,222.0,-0.15883739419729104,0.14141129419729104,0.0,0.0174261
41231,2023-07-03 15:19:57.261255502,1,192.17,251.0,-0.27140828204301576,0.25398218204301576,0.0,0.0174261
41233,2023-07-03 15:19:57.261255502,1,192.17,113.0,-0.37661114644634525,0.35918504644634525,0.0,0.0174261
41234,2023-07-03 15:19:57.261255502,1,192.16,219.0,-0.20057525608206453,0.18314915608206453,0.0,0.0174261
41236,2023-07-03 15:19:57.261992009,1,192.17,138.0,-0.2512181018705839,0.2341600018705839,0.0,0.0170581
41238,2023-07-03 15:19:57.265074125,2,192.17,97.0,-0.2478697799789031,0.23138877997890311,0.0,0.016481
41239,2023-07-03 15:19:59.977036035,1,192.17,249.0,-0.06082270435157111,0.04399100435157111,0.0,0.0168317
41243,2023-07-03 15:20:00.074518281,1,192.18,188.0,-0.10069016012724241,0.08423636012724241,0.0,0.0164538
41248,2023-07-03 15:20:01.235570240,2,192.185,131.0,-0.27545138204301123,0.25398218204301576,0.0049999999999954525,0.0164692
41249,2023-07-03 15:20:01.543165147,1,192.19,172.0,-0.041920318204301574,0.025398218204301576,0.0,0.0165221
41254,2023-07-03 15:20:03.858368770,2,192.19,152.0,-0.27072868204301576,0.25398218204301576,0.0,0.0167465
41255,2023-07-03 15:20:03.858368770,1,192.19,248.0,-0.15352009083772775,0.13677359083772775,0.0,0.0167465
41256,2023-07-03 15:20:03.859641353,1,192.18,111.0,-0.3956987464463271,0.35918504644634525,0.01999999999998181,0.0165137
41257,2023-07-03 15:20:03.864051651,2,192.2,155.0,-0.08395386911273545,0.06719736911273545,0.0,0.0167565
41259,2023-07-03 15:20:03.864051651,2,192.2,147.0,-0.1511512382254709,0.1343947382254709,0.0,0.0167565
41261,2023-07-03 15:20:05.950015091,1,192.2,216.0,-0.09710591803554472,0.08031621803554471,0.0,0.0167897
