step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
10914,2023-07-03 13:39:55.686521501,2,193.28,8.0,-0.09690521803554472,0.08031621803554471,0.0,0.016589
10915,2023-07-03 13:39:55.864564219,2,193.29,2.0,-0.2704630820430158,0.25398218204301576,0.0,0.0164809
10916,2023-07-03 13:39:55.865003064,1,193.3,7.0,-0.4565742435157111,0.43991004351571106,0.0,0.0166642
10917,2023-07-03 13:39:56.186512403,2,193.3,11.0,-0.0887889749763966,0.062212674976405695,0.009999999999990905,0.0165763
10918,2023-07-03 13:39:56.192524931,1,193.3,5.0,-0.28050438204300665,0.25398218204301576,0.009999999999990905,0.0165222
10919,2023-07-03 13:39:56.192524931,2,193.3,9.0,-0.062440704644625436,0.03591850464463453,0.009999999999990905,0.0165222
10921,2023-07-03 13:39:56.667037232,2,193.31,3.0,-0.04194141820430158,0.025398218204301576,0.0,0.0165432
10922,2023-07-03 13:39:56.667037232,2,193.31,11.0,-0.2692522803817272,0.25270908038172724,0.0,0.0165432
10923,2023-07-03 13:39:56.667078925,1,193.31,2.0,-0.37656838940658555,0.36008188940658553,0.0,0.0164865
10926,2023-07-03 13:39:57.524805325,2,193.31,8.0,-0.14308775743820826,0.11638925743821735,0.009999999999990905,0.0166985
10927,2023-07-03 13:39:58.260659477,1,193.29,10.0,-0.27045318204301577,0.25398218204301576,0.0,0.016471
10929,2023-07-03 13:39:58.273292222,2,193.3,7.0,-0.28044288204300666,0.25398218204301576,0.009999999999990905,0.0164607
10932,2023-07-03 13:40:01.659436733,2,193.3,9.0,-0.16598417030933418,0.13911177030934327,0.009999999999990905,0.0168724
10933,2023-07-03 13:40:01.659436733,2,193.3,7.0,-0.10718861803553562,0.08031621803554471,0.009999999999990905,0.0168724
10934,2023-07-03 13:40:01.659436733,1,193.3,7.0,-0.09406976911272635,0.06719736911273545,0.009999999999990905,0.0168724
10935,2023-07-03 13:40:01.659436733,1,193.3,7.0,-0.2808545820430067,0.25398218204301576,0.009999999999990905,0.0168724
10936,2023-07-03 13:40:01.682420359,1,193.29,10.0,-0.10267695461292406,0.07619465461290473,0.010000000000019327,0.0164823
10937,2023-07-03 13:40:01.692985728,1,193.28,5.0,-0.10696661803553562,0.08031621803554471,0.009999999999990905,0.0166504
10938,2023-07-03 13:40:01.692985728,2,193.28,8.0,-0.14577860293688136,0.11912820293689044,0.009999999999990905,0.0166504
10939,2023-07-03 13:40:01.998129414,1,193.27,10.0,-0.38579684644633616,0.35918504644634525,0.009999999999990905,0.0166118
10942,2023-07-03 13:40:02.004862849,1,193.27,4.0,-0.08335374241218187,0.056792142412190966,0.009999999999990905,0.0165616
10944,2023-07-03 13:40:02.039439235,2,193.25,4.0,-0.11816447804102317,0.09157457804103226,0.009999999999990905,0.0165899
10945,2023-07-03 13:40:02.039439235,2,193.25,5.0,-0.26348870846457245,0.23689880846458156,0.009999999999990905,0.0165899
10946,2023-07-03 13:40:02.040253212,1,193.25,10.0,-0.06321250464462544,0.03591850464463453,0.009999999999990905,0.017294
10947,2023-07-03 13:40:02.040253212,2,193.25,7.0,-0.28127618204300664,0.25398218204301576,0.009999999999990905,0.017294
10949,2023-07-03 13:40:02.040253212,2,193.25,7.0,-0.16640577030933418,0.13911177030934327,0.009999999999990905,0.017294
10950,2023-07-03 13:40:02.040253212,1,193.25,10.0,-0.11842887804102317,0.09157457804103226,0.009999999999990905,0.0168543
10951,2023-07-03 13:40:02.040253212,1,193.25,5.0,-0.14043858482437283,0.11358428482438193,0.009999999999990905,0.0168543
10952,2023-07-03 13:40:02.040253212,1,193.25,9.0,-0.08364644241218187,0.056792142412190966,0.009999999999990905,0.0168543
10953,2023-07-03 13:40:02.040253212,1,193.25,5.0,-0.052252518204292484,0.025398218204301576,0.009999999999990905,0.0168543
10954,2023-07-03 13:40:02.044153256,1,193.24,3.0,-0.06246390464462544,0.03591850464463453,0.009999999999990905,0.0165454
10956,2023-07-03 13:40:02.064508935,1,193.24,5.0,-0.2704687820430158,0.25398218204301576,0.0,0.0164866
10957,2023-07-03 13:40:02.064508935,2,193.24,3.0,-0.2704687820430158,0.25398218204301576,0.0,0.0164866
10958,2023-07-03 13:40:02.064938977,2,193.24,8.0,-0.470063082038334,0.453626682038334,0.0,0.0164364
